iter	Logloss
0	0.6925409967
1	0.6920118707
2	0.6914793049
3	0.690991293
4	0.6904536743
5	0.6899884732
6	0.6895397546
7	0.6889487869
8	0.6884383518
9	0.6879013325
10	0.6873479045
11	0.6868263235
12	0.6863088642
13	0.6858134176
14	0.6853177176
15	0.6848510701
16	0.6843777068
17	0.6839202335
18	0.6834538047
19	0.6828815836
20	0.682340989
21	0.6817657009
22	0.6812098105
23	0.6806758562
24	0.6802468593
25	0.6796688869
26	0.6791282048
27	0.678624296
28	0.6781194957
29	0.6775854058
30	0.6770831519
31	0.6765761382
32	0.6760475658
33	0.675533629
34	0.6750056422
35	0.6745364565
36	0.6740473863
37	0.6735754209
38	0.6731382053
39	0.6726371459
40	0.6722002145
41	0.6717115468
42	0.6712218496
43	0.6707345851
44	0.6702865647
45	0.6697688855
46	0.6692933223
47	0.66881067
48	0.6683015522
49	0.6677796526
50	0.6672728302
51	0.6667665489
52	0.6663182506
53	0.6658236356
54	0.6653642572
55	0.6648363447
56	0.6643590394
57	0.6638348635
58	0.663381683
59	0.6628872388
60	0.6624150896
61	0.6618981966
62	0.661410667
63	0.6609471876
64	0.6604802074
65	0.6600242743
66	0.6595454269
67	0.6590442896
68	0.6585664043
69	0.6580486949
70	0.6575391379
71	0.6570911166
72	0.6566235945
73	0.6562390707
74	0.6557912174
75	0.6553359624
76	0.6548352307
77	0.6543205665
78	0.6538468927
79	0.653308901
80	0.6528099049
81	0.6523327473
82	0.6518813339
83	0.6513889324
84	0.6509172836
85	0.650503279
86	0.6500484855
87	0.6496195492
88	0.6491520818
89	0.6487284896
90	0.6482859759
91	0.6478888813
92	0.6474668643
93	0.6470161087
94	0.6465825213
95	0.6462431564
96	0.645846066
97	0.6454329953
98	0.6450028171
99	0.6446198311
100	0.6441568474
101	0.6437911541
102	0.6433824013
103	0.6429430133
104	0.6424563811
105	0.6420560786
106	0.6416411366
107	0.6412190536
108	0.6407508748
109	0.6403727591
110	0.6399024749
111	0.639517484
112	0.6390525645
113	0.6387331517
114	0.6382614909
115	0.6378462371
116	0.6374395147
117	0.636971142
118	0.6365281455
119	0.6360849783
120	0.6356631535
121	0.6352547292
122	0.63486345
123	0.6344678024
124	0.6342016048
125	0.6338504923
126	0.633540928
127	0.6331545456
128	0.632752801
129	0.6323725799
130	0.6319686619
131	0.6315947396
132	0.6312099397
133	0.6308491799
134	0.6305617712
135	0.6301342037
136	0.6297275739
137	0.6293605008
138	0.629035057
139	0.6286638279
140	0.6282856219
141	0.6278962943
142	0.6275354287
143	0.6271639501
144	0.6267793362
145	0.6263638399
146	0.6260176213
147	0.6256853478
148	0.6253440896
149	0.6249419045
150	0.6246781585
151	0.624300857
152	0.6239406053
153	0.623538012
154	0.6231167441
155	0.6227233901
156	0.6224397526
157	0.6220401657
158	0.6216428856
159	0.6212916007
160	0.6208573212
161	0.6204839087
162	0.6200854069
163	0.6196930237
164	0.6193935009
165	0.6190144903
166	0.6186202565
167	0.6182681116
168	0.6178636288
169	0.6175241092
170	0.6171379704
171	0.6167713984
172	0.6164426036
173	0.6161648766
174	0.6158059407
175	0.6154085069
176	0.6150291272
177	0.6146705231
178	0.6143200847
179	0.6139975136
180	0.6136534201
181	0.613266916
182	0.6129410962
183	0.6125666415
184	0.6122018639
185	0.6119703186
186	0.611633871
187	0.6112700719
188	0.6109293618
189	0.6105923395
190	0.6102708322
191	0.6099215355
192	0.6096009468
193	0.6092221417
194	0.6089170599
195	0.6085804773
196	0.6082997516
197	0.6079242781
198	0.6075539509
199	0.6071627352
200	0.6067869258
201	0.6065694392
202	0.6062135214
203	0.6059158365
204	0.6055568073
205	0.6052702701
206	0.6049273807
207	0.604574825
208	0.604237777
209	0.6038687449
210	0.6035376814
211	0.6032877904
212	0.6029349487
213	0.6025633575
214	0.6022329658
215	0.6018627747
216	0.6014887131
217	0.6011345046
218	0.6008035813
219	0.6005286161
220	0.6002556167
221	0.599983671
222	0.5996443091
223	0.5994128675
224	0.5990919605
225	0.5987360783
226	0.5983857966
227	0.5980390127
228	0.5977205603
229	0.5974287319
230	0.5970876112
231	0.5968782361
232	0.5965354184
233	0.5962968893
234	0.5959745823
235	0.5956688528
236	0.5953615161
237	0.5950337686
238	0.594736443
239	0.5944162042
240	0.594096844
241	0.5938098585
242	0.5935476857
243	0.5932469976
244	0.5929483693
245	0.5927218939
246	0.5924312385
247	0.5921368309
248	0.5918565505
249	0.5916117357
250	0.5913050393
251	0.5909601197
252	0.5907753137
253	0.5904766426
254	0.5901760372
255	0.5899301575
256	0.5896182522
257	0.5893075164
258	0.5890566615
259	0.5887465003
260	0.5885036917
261	0.5882306985
262	0.5879264376
263	0.5876359125
264	0.5873931614
265	0.5871583628
266	0.5868509098
267	0.5865550214
268	0.5862641537
269	0.5859859732
270	0.5856902501
271	0.5854365719
272	0.5851626531
273	0.5848620878
274	0.5846147633
275	0.5842870017
276	0.5839514705
277	0.583672282
278	0.5833681081
279	0.5830699677
280	0.5827962679
281	0.582494627
282	0.5821600008
283	0.5818851053
284	0.5816466854
285	0.5814187509
286	0.5811867133
287	0.5809232743
288	0.580675805
289	0.5803790531
290	0.5801156743
291	0.579855129
292	0.5795380654
293	0.5793039458
294	0.5790396126
295	0.5787255374
296	0.5785026483
297	0.5781918407
298	0.5779059636
299	0.5776092568
300	0.577299108
301	0.5770112142
302	0.5767658138
303	0.5765398148
304	0.5762549821
305	0.5760020845
306	0.5757208892
307	0.5754821027
308	0.5752540033
309	0.5750770899
310	0.5748024725
311	0.5745626356
312	0.5743761179
313	0.5741069332
314	0.5738016409
315	0.5736003951
316	0.5733212751
317	0.5731129905
318	0.5728749526
319	0.5726470576
320	0.5724086071
321	0.5721776509
322	0.57192156
323	0.5716732119
324	0.5714030828
325	0.5711278285
326	0.5709612932
327	0.5706894911
328	0.5704413295
329	0.5701429963
330	0.5699039157
331	0.5696481799
332	0.5693886587
333	0.5691322947
334	0.5688544176
335	0.5685827117
336	0.5683955242
337	0.5681593669
338	0.5679685009
339	0.5677389737
340	0.5675224322
341	0.5672698997
342	0.5670341413
343	0.5667975414
344	0.5665700688
345	0.5662987384
346	0.5660668512
347	0.5657917187
348	0.5655461267
349	0.5652945995
350	0.5650731671
351	0.5648123146
352	0.5645724797
353	0.5643142082
354	0.5640604015
355	0.5638284628
356	0.5635976391
357	0.5634081828
358	0.5631718124
359	0.5629927306
360	0.5627606188
361	0.5625164555
362	0.5622582498
363	0.5620079247
364	0.5617959285
365	0.5616250012
366	0.561401255
367	0.5611804302
368	0.5609531337
369	0.5607703368
370	0.5605524212
371	0.5603730807
372	0.5601474196
373	0.5599340887
374	0.5596813678
375	0.5594546417
376	0.559259726
377	0.5590172559
378	0.5588065775
379	0.5585768485
380	0.5583529065
381	0.5581518124
382	0.5579766855
383	0.5577714184
384	0.5575310575
385	0.5573224414
386	0.55710224
387	0.5569046214
388	0.5566943708
389	0.5564835977
390	0.5562627577
391	0.5560524138
392	0.5558114396
393	0.5556045227
394	0.5553913885
395	0.5551643059
396	0.5549846372
397	0.5547551506
398	0.5545446501
399	0.5543243499
400	0.5541300573
401	0.5539027306
402	0.5536895091
403	0.5534732033
404	0.5532686225
405	0.5530565721
406	0.5528450399
407	0.5526892537
408	0.5524842488
409	0.5523871962
410	0.5521604366
411	0.551963529
412	0.5517248705
413	0.5514833035
414	0.5512368455
415	0.5510085468
416	0.5508066997
417	0.550610296
418	0.5504242392
419	0.550188008
420	0.550000426
421	0.5497492479
422	0.5495952958
423	0.5493643973
424	0.5491680953
425	0.5489480799
426	0.5487789481
427	0.5485585003
428	0.5483431526
429	0.5481391306
430	0.5479799795
431	0.5477635509
432	0.5475660238
433	0.5473569013
434	0.5471490925
435	0.5469514829
436	0.5467373762
437	0.5465532195
438	0.546379749
439	0.5461950779
440	0.5459700654
441	0.5457514555
442	0.5455869642
443	0.5453971204
444	0.5452061675
445	0.545021939
446	0.544810515
447	0.5446238917
448	0.544520158
449	0.5443245643
450	0.544111859
451	0.5439032708
452	0.5437220974
453	0.5435277552
454	0.5433402918
455	0.5431356848
456	0.542930262
457	0.542711223
458	0.542517496
459	0.5423280416
460	0.542106859
461	0.541929024
462	0.5417317437
463	0.5415203908
464	0.5413296514
465	0.5411337919
466	0.5409197607
467	0.540734923
468	0.5405892768
469	0.5403891011
470	0.5401851485
471	0.5400212487
472	0.5398318773
473	0.5396621132
474	0.5394821541
475	0.5392830926
476	0.5391107631
477	0.5389702593
478	0.5388247531
479	0.5386710964
480	0.5385046205
481	0.5383099117
482	0.5381508097
483	0.5379738514
484	0.5377858569
485	0.5376764605
486	0.5374711925
487	0.5372834282
488	0.5371423957
489	0.5369544971
490	0.5367718335
491	0.5365825159
492	0.5364718602
493	0.5363211648
494	0.5361773352
495	0.5360278854
496	0.5358259944
497	0.5356613866
498	0.5355429106
499	0.5353957564
500	0.5352258576
501	0.535056048
502	0.5348892102
503	0.5346832805
504	0.5344601565
505	0.5342834122
506	0.5341820362
507	0.5340365633
508	0.5338539405
509	0.533697285
510	0.5335112455
511	0.5334076001
512	0.5332445048
513	0.533071457
514	0.5329161993
515	0.532750361
516	0.532607043
517	0.532438587
518	0.5322855663
519	0.5321310958
520	0.5319775845
521	0.5318000742
522	0.5316393079
523	0.5314631412
524	0.5313116887
525	0.5311763006
526	0.5310276911
527	0.5308612803
528	0.5306960118
529	0.5305938046
530	0.530420937
531	0.5302514189
532	0.530085294
533	0.5298917412
534	0.5297390657
535	0.5295814781
536	0.5294059259
537	0.5292839799
538	0.5291186838
539	0.5289576846
540	0.528769962
541	0.5286251733
542	0.5284549741
543	0.5283014455
544	0.5281166651
545	0.5279811742
546	0.5278525696
547	0.5277171114
548	0.5275424861
549	0.5273878977
550	0.527201271
551	0.5270678464
552	0.5269233153
553	0.5267882831
554	0.5266224318
555	0.5264918718
556	0.5263176897
557	0.5261286347
558	0.5259981282
559	0.5258492638
560	0.52567451
561	0.5255516834
562	0.5254355757
563	0.5253513444
564	0.5252291843
565	0.5250832845
566	0.5249192069
567	0.5247725064
568	0.5246310752
569	0.5244662118
570	0.5243283614
571	0.524182767
572	0.5240674853
573	0.523938567
574	0.523805869
575	0.5236491527
576	0.5235315567
577	0.5233988368
578	0.5232343659
579	0.5230906411
580	0.5229545349
581	0.5228242994
582	0.5226413322
583	0.522489609
584	0.5223478504
585	0.522219271
586	0.522120132
587	0.5219703904
588	0.5218061655
589	0.5216720772
590	0.5215401884
591	0.5214339253
592	0.5212934875
593	0.5211479428
594	0.5210131706
595	0.5208588801
596	0.5207323781
597	0.5205937219
598	0.5204608122
599	0.5202955181
