iter	Passed	Remaining
0	2	2292
1	4	2532
2	6	2442
3	8	2343
4	10	2267
5	12	2362
6	14	2234
7	15	2164
8	17	2077
9	19	2084
10	20	2057
11	22	2041
12	24	2007
13	25	1993
14	27	1964
15	28	1942
16	30	1939
17	32	1953
18	34	1946
19	35	1934
20	37	1922
21	38	1910
22	40	1902
23	42	1890
24	43	1884
25	45	1884
26	47	1886
27	49	1879
28	50	1882
29	52	1886
30	54	1893
31	56	1900
32	59	1910
33	61	1925
34	63	1928
35	64	1920
36	66	1914
37	68	1915
38	70	1915
39	72	1916
40	74	1912
41	75	1912
42	77	1914
43	79	1910
44	81	1906
45	83	1901
46	85	1906
47	87	1907
48	88	1904
49	90	1900
50	92	1897
51	94	1897
52	95	1892
53	97	1891
54	99	1890
55	101	1890
56	103	1888
57	105	1893
58	106	1885
59	108	1882
60	110	1879
61	112	1875
62	113	1870
63	115	1869
64	117	1867
65	118	1863
66	120	1859
67	122	1855
68	123	1851
69	125	1846
70	127	1842
71	128	1838
72	130	1836
73	132	1834
74	134	1839
75	136	1838
76	138	1837
77	141	1851
78	143	1853
79	146	1866
80	149	1876
81	151	1874
82	153	1879
83	155	1878
84	158	1890
85	160	1897
86	162	1896
87	164	1893
88	166	1890
89	168	1888
90	170	1886
91	171	1882
92	174	1886
93	176	1884
94	177	1882
95	179	1880
96	181	1877
97	183	1877
98	185	1878
99	187	1878
100	189	1877
101	191	1874
102	194	1881
103	197	1890
104	200	1899
105	203	1906
106	205	1906
107	207	1908
108	210	1914
109	212	1912
110	214	1911
111	216	1910
112	218	1911
113	221	1913
114	223	1915
115	226	1920
116	228	1920
117	230	1922
118	233	1921
119	235	1920
120	237	1919
121	239	1918
122	240	1914
123	242	1910
124	244	1903
125	245	1901
126	247	1895
127	249	1894
128	252	1899
129	254	1897
130	256	1899
131	259	1904
132	262	1907
133	264	1906
134	266	1904
135	268	1903
136	270	1901
137	272	1898
138	274	1896
139	276	1896
140	278	1894
141	280	1890
142	282	1891
143	284	1890
144	286	1888
145	288	1886
146	291	1886
147	293	1886
148	295	1885
149	297	1886
150	300	1886
151	302	1886
152	304	1883
153	306	1882
154	308	1882
155	310	1879
156	312	1877
157	314	1874
158	316	1870
159	318	1868
160	320	1866
161	321	1864
162	323	1861
